ocena;kategoria;weglanowa;powyzej;ponizej
2;min;0;-100;2
3;min;0;2;4
4;min;0;4;2000
2;min;1;-100;2
3;min;1;2;4
4;min;1;4;2000
2;5;0;-100;2
3;5;0;2;4
4;5;0;4;2000
