;ocena_id;kategoria_id;;powyzej;ponizej
Niska;2;1;1,1÷2,0;-100;2.5
Średnia;3;1;2,1÷4,0;2.5;4
Wysoka;4;1;4,1÷6,0;4;2000
Niska;2;2;2,1÷3,0;-100;2.5
Średnia;3;2;3,1÷5,0;2.5;4
Wysoka;4;2;5,1÷7,0;4;2000
Niska;2;3;3,1÷5,0;-100;4
Średnia;3;3;5,1÷7,0;4;6
Wysoka;4;3;7,1÷9,0;6;2000
Niska;2;4;4,1÷6,0;-100;4
Średnia;3;4;6,1÷10,0;4;6
Wysoka;4;4;10,1÷14,0;6;2000
Niska;2;5;21-40;-100;4
Średnia;3;5;41-80;4;6
Wysoka;4;5;81-120;6;2000
