;ocena_id;kategoria_id;;powyzej;ponizej
Niska;2;1;2,6÷7,5;-100;5
Średnia;3;1; 7,6÷12,5;5;8
Wysoka;4;1;12,6÷17,5;8;2000
Niska;2;2; 5,1÷10,0;-100;5
Średnia;3;2;10,1÷15,0;5;8
Wysoka;4;2;15,1÷20,0;8;2000
Niska;2;3; 7,6÷12,5;-100;8
Średnia;3;3;12,6÷20,0;8;13
Wysoka;4;3;20,1÷25,0;13;2000
Niska;2;4;10,1÷15,0;-100;13
Średnia;3;4;15,1÷25,0;13;21
Wysoka;4;4;25,1÷30,0;21;2000
Niska;2;5;31-60;-100;13
Średnia;3;5;61-90;13;21
Wysoka;4;5;91-120;21;2000
