626,Knury,Świnie,4,Bezściółkowo gnojowica/pomiot/odchody,0.6,0.7,
627,Lochy/Maciory,Świnie,1,Głęboka ściółka obornik,0.4,0.45,
627,Lochy/Maciory,Świnie,2,Płytka ściółka obornik,0.4,0.45,
627,Lochy/Maciory,Świnie,3,Płytka ściółka gnojówka,0.65,0.80,
627,Lochy/Maciory,Świnie,4,Bezściółkowo gnojowica/pomiot/odchody,0.6,0.7,
628,Warchlaki od 2 do 4 miesięcy,Świnie,1,Głęboka ściółka obornik,0.4,0.45,
628,Warchlaki od 2 do 4 miesięcy,Świnie,2,Płytka ściółka obornik,0.4,0.45,
628,Warchlaki od 2 do 4 miesięcy,Świnie,3,Płytka ściółka gnojówka,0.65,0.80,
628,Warchlaki od 2 do 4 miesięcy,Świnie,4,Bezściółkowo gnojowica/pomiot/odchody,0.6,0.7,
629,Prosięta do 2 miesięcy,Świnie,1,Głęboka ściółka obornik,0.4,0.45,
629,Prosięta do 2 miesięcy,Świnie,2,Płytka ściółka obornik,0.4,0.45,
629,Prosięta do 2 miesięcy,Świnie,3,Płytka ściółka gnojówka,0.65,0.80,
629,Prosięta do 2 miesięcy,Świnie,4,Bezściółkowo gnojowica/pomiot/odchody,0.6,0.7,
630,"Tuczniki, loszki i knurki hodowlane",Świnie,1,Głęboka ściółka obornik,0.4,0.45,
630,"Tuczniki, loszki i knurki hodowlane",Świnie,2,Płytka ściółka obornik,0.4,0.45,
630,"Tuczniki, loszki i knurki hodowlane",Świnie,3,Płytka ściółka gnojówka,0.65,0.80,
630,"Tuczniki, loszki i knurki hodowlane",Świnie,4,Bezściółkowo gnojowica/pomiot/odchody,0.6,0.7,
631,Separowana gnojowica faza ciekła,Świnie,4,Bezściółkowo gnojowica/pomiot/odchody,0.75,0.85,
632,Separowana gnojowica faza stała,Świnie,4,Bezściółkowo gnojowica/pomiot/odchody,0.25,0.30,
633,Ogiery,Konie ras dużych,1,Głęboka ściółka obornik,0.30,0.35,
633,Ogiery,Konie ras dużych,2,Płytka ściółka obornik,0.30,0.35,
633,Ogiery,Konie ras dużych,3,Płytka ściółka gnojówka,0.45,0.55,
634,Klacze,Konie ras dużych,1,Głęboka ściółka obornik,0.30,0.35,
634,Klacze,Konie ras dużych,2,Płytka ściółka obornik,0.30,0.35,
634,Klacze,Konie ras dużych,3,Płytka ściółka gnojówka,0.45,0.55,
635,Wałachy,Konie ras dużych,1,Głęboka ściółka obornik,0.30,0.35,
635,Wałachy,Konie ras dużych,2,Płytka ściółka obornik,0.30,0.35,
635,Wałachy,Konie ras dużych,3,Płytka ściółka gnojówka,0.45,0.55,
636,Źrebaki powyżej 2 lat życia,Konie ras dużych,1,Głęboka ściółka obornik,0.30,0.35,
636,Źrebaki powyżej 2 lat życia,Konie ras dużych,2,Płytka ściółka obornik,0.30,0.35,
636,Źrebaki powyżej 2 lat życia,Konie ras dużych,3,Płytka ściółka gnojówka,0.45,0.55,
637,Źrebaki od 1 roku do 2 lat,Konie ras dużych,1,Głęboka ściółka obornik,0.30,0.35,
637,Źrebaki od 1 roku do 2 lat,Konie ras dużych,2,Płytka ściółka obornik,0.30,0.35,
637,Źrebaki od 1 roku do 2 lat,Konie ras dużych,3,Płytka ściółka gnojówka,0.45,0.55,
638,Źrebaki od 6 miesiąca do 1 roku,Konie ras dużych,1,Głęboka ściółka obornik,0.30,0.35,
638,Źrebaki od 6 miesiąca do 1 roku,Konie ras dużych,2,Płytka ściółka obornik,0.30,0.35,
638,Źrebaki od 6 miesiąca do 1 roku,Konie ras dużych,3,Płytka ściółka gnojówka,0.45,0.55,
639,Źrebięta do 6 miesięcy,Konie ras dużych,1,Głęboka ściółka obornik,0.30,0.35,
639,Źrebięta do 6 miesięcy,Konie ras dużych,2,Płytka ściółka obornik,0.30,0.35,
639,Źrebięta do 6 miesięcy,Konie ras dużych,3,Płytka ściółka gnojówka,0.45,0.55,
640,Ogiery,Konie ras małych,1,Głęboka ściółka obornik,0.30,0.35,
640,Ogiery,Konie ras małych,2,Płytka ściółka obornik,0.30,0.35,
640,Ogiery,Konie ras małych,3,Płytka ściółka gnojówka,0.45,0.55,
641,Klacze,Konie ras małych,1,Głęboka ściółka obornik,0.30,0.35,
641,Klacze,Konie ras małych,2,Płytka ściółka obornik,0.30,0.35,
641,Klacze,Konie ras małych,3,Płytka ściółka gnojówka,0.45,0.55,
642,Wałachy,Konie ras małych,1,Głęboka ściółka obornik,0.30,0.35,
642,Wałachy,Konie ras małych,2,Płytka ściółka obornik,0.30,0.35,
642,Wałachy,Konie ras małych,3,Płytka ściółka gnojówka,0.45,0.55,
643,Źrebaki powyżej 2 lat życia,Konie ras małych,1,Głęboka ściółka obornik,0.30,0.35,
643,Źrebaki powyżej 2 lat życia,Konie ras małych,2,Płytka ściółka obornik,0.30,0.35,
643,Źrebaki powyżej 2 lat życia,Konie ras małych,3,Płytka ściółka gnojówka,0.45,0.55,
644,Źrebaki od 1 roku do 2 lat,Konie ras małych,1,Głęboka ściółka obornik,0.30,0.35,
644,Źrebaki od 1 roku do 2 lat,Konie ras małych,2,Płytka ściółka obornik,0.30,0.35,
644,Źrebaki od 1 roku do 2 lat,Konie ras małych,3,Płytka ściółka gnojówka,0.45,0.55,
645,Źrebaki od 6 miesiąca do 1 roku,Konie ras małych,1,Głęboka ściółka obornik,0.30,0.35,
645,Źrebaki od 6 miesiąca do 1 roku,Konie ras małych,2,Płytka ściółka obornik,0.30,0.35,
645,Źrebaki od 6 miesiąca do 1 roku,Konie ras małych,3,Płytka ściółka gnojówka,0.45,0.55,
646,Źrebięta do 6 miesięcy,Konie ras małych,1,Głęboka ściółka obornik,0.30,0.35,
646,Źrebięta do 6 miesięcy,Konie ras małych,2,Płytka ściółka obornik,0.30,0.35,
646,Źrebięta do 6 miesięcy,Konie ras małych,3,Płytka ściółka gnojówka,0.45,0.55,
647,"Tryki powyżej 1,5 roku",Owce,1,Głęboka ściółka obornik,0.30,0.35,
648,"Owce powyżej 1,5 roku",Owce,1,Głęboka ściółka obornik,0.30,0.35,
649,"Jagnięta do 3,5 miesiąca",Owce,1,Głęboka ściółka obornik,0.30,0.35,
650,Jarlaki - tryczki,Owce,1,Głęboka ściółka obornik,0.30,0.35,
651,Jarlaki - maciorki,Owce,1,Głęboka ściółka obornik,0.30,0.35,
652,Kury nieśne,Drób,1,Głęboka ściółka obornik,0.4,0.45,
652,Kury nieśne,Drób,4,Bezściółkowo gnojowica/pomiot/odchody,0.45,0.50,pomiot podsuszany
652,Kury nieśne,Drób,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,pomiot nie podsuszany
653,Kury mięsne,Drób,1,Głęboka ściółka obornik,0.45,0.50,
653,Kury mięsne,Drób,4,Bezściółkowo gnojowica/pomiot/odchody,0.45,0.50,pomiot podsuszany
653,Kury mięsne,Drób,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,pomiot nie podsuszany
654,Kury  do 20 tygodnia,Drób,1,Głęboka ściółka obornik,0.40,0.45,nieśny
654,Kury  do 20 tygodnia,Drób,1,Głęboka ściółka obornik,0.45,0.50,rzeźny
655,Kurczęta brojlery,Drób,1,Głęboka ściółka obornik,0.45,0.50,
656,Kaczki,Drób,1,Głęboka ściółka obornik,0.40,0.45,nieśne
656,Kaczki,Drób,1,Głęboka ściółka obornik,0.45,0.50,rzeźne
656,Kaczki,Drób,4,Bezściółkowo gnojowica/pomiot/odchody,0.45,0.50,pomiot podsuszany
656,Kaczki,Drób,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,pomiot nie podsuszany
657,Gęsi,Drób,1,Głęboka ściółka obornik,0.40,0.45,nieśne
657,Gęsi,Drób,1,Głęboka ściółka obornik,0.45,0.50,rzeźne
657,Gęsi,Drób,4,Bezściółkowo gnojowica/pomiot/odchody,0.45,0.50,pomiot podsuszany
657,Gęsi,Drób,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,pomiot nie podsuszany
658,Indyki samce,Drób,1,Głęboka ściółka obornik,0.40,0.45,nieśne
659,Indyki samice,Drób,1,Głęboka ściółka obornik,0.40,0.45,nieśne
660,Przepiórki,Drób,1,Głęboka ściółka obornik,0.40,0.45,nieśne
661,Perlice,Drób,1,Głęboka ściółka obornik,0.40,0.45,nieśne
658,Indyki samce,Drób,1,Głęboka ściółka obornik,0.45,0.50,rzeźne
659,Indyki samice,Drób,1,Głęboka ściółka obornik,0.45,0.50,rzeźne
660,Przepiórki,Drób,1,Głęboka ściółka obornik,0.45,0.50,rzeźne
661,Perlice,Drób,1,Głęboka ściółka obornik,0.45,0.50,rzeźne
662,Kozy matki,Kozy,1,Głęboka ściółka obornik,0.30,0.35,
663,"Koźlęta od 3,5 miesiąca do 1,5 roku",Kozy,1,Głęboka ściółka obornik,0.30,0.35,
664,"Koźlęta do 3,5 miesiąca",Kozy,1,Głęboka ściółka obornik,0.30,0.35,
665,Pozostałe kozy,Kozy,1,Głęboka ściółka obornik,0.30,0.35,
666,Tchórze samce,Tchórze,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,
667,Tchórze samice,Tchórze,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,
668,Tchórze młode,Tchórze,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,
669,Lisy pospolite samce,Lisy,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,
670,Lisy pospolite samice,Lisy,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,
671,Lisy pospolite młode,Lisy,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,
672,Lisy polarne samce,Lisy,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,
673,Lisy polarne samice,Lisy,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,
674,Lisy polarne młode,Lisy,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,
675,Jenoty samce,Jenoty,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,
676,Jenoty samice,Jenoty,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,
677,Jenoty młode,Jenoty,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,
678,Norki samce,Norki,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,
679,Norki samice,Norki,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,
680,Norki młode,Norki,4,Bezściółkowo gnojowica/pomiot/odchody,0.65,0.75,
681,Nutrie samce,Nutrie,2,Płytka ściółka obornik,0.30,0.35,
681,Nutrie samce,Nutrie,3,Płytka ściółka gnojówka,0.45,0.55,
